"id","code","name","deleted_at","created_at","updated_at"
"1","010000","D.K.I. Jakarta",,"7/12/2019 04:04:59","7/12/2019 04:04:59"
"2","020000","Jawa Barat",,"7/12/2019 04:04:59","7/12/2019 04:04:59"
"3","030000","Jawa Tengah",,"7/12/2019 04:04:59","7/12/2019 04:04:59"
"4","040000","D.I. Yogyakarta",,"7/12/2019 04:04:59","7/12/2019 04:04:59"
"5","050000","Jawa Timur",,"7/12/2019 04:04:59","7/12/2019 04:04:59"
"6","060000","Aceh",,"7/12/2019 04:04:59","7/12/2019 04:04:59"
"7","070000","Sumatera Utara",,"7/12/2019 04:04:59","7/12/2019 04:04:59"
"8","080000","Sumatera Barat",,"7/12/2019 04:04:59","7/12/2019 04:04:59"
"9","090000","Riau",,"7/12/2019 04:04:59","7/12/2019 04:04:59"
"10","100000","Jambi",,"7/12/2019 04:04:59","7/12/2019 04:04:59"
"11","110000","Sumatera Selatan",,"7/12/2019 04:04:59","7/12/2019 04:04:59"
"12","120000","Lampung",,"7/12/2019 04:04:59","7/12/2019 04:04:59"
"13","130000","Kalimantan Barat",,"7/12/2019 04:04:59","7/12/2019 04:04:59"
"14","140000","Kalimantan Tengah",,"7/12/2019 04:04:59","7/12/2019 04:04:59"
"15","150000","Kalimantan Selatan",,"7/12/2019 04:04:59","7/12/2019 04:04:59"
"16","160000","Kalimantan Timur",,"7/12/2019 04:04:59","7/12/2019 04:04:59"
"17","170000","Sulawesi Utara",,"7/12/2019 04:04:59","7/12/2019 04:04:59"
"18","180000","Sulawesi Tengah",,"7/12/2019 04:04:59","7/12/2019 04:04:59"
"19","190000","Sulawesi Selatan",,"7/12/2019 04:04:59","7/12/2019 04:04:59"
"20","200000","Sulawesi Tenggara",,"7/12/2019 04:04:59","7/12/2019 04:04:59"
"21","210000","Maluku",,"7/12/2019 04:04:59","7/12/2019 04:04:59"
"22","220000","Bali",,"7/12/2019 04:04:59","7/12/2019 04:04:59"
"23","230000","Nusa Tenggara Barat",,"7/12/2019 04:04:59","7/12/2019 04:04:59"
"24","240000","Nusa Tenggara Timur",,"7/12/2019 04:05:00","7/12/2019 04:05:00"
"25","250000","Papua",,"7/12/2019 04:05:00","7/12/2019 04:05:00"
"26","260000","Bengkulu",,"7/12/2019 04:05:00","7/12/2019 04:05:00"
"27","270000","Maluku Utara",,"7/12/2019 04:05:00","7/12/2019 04:05:00"
"28","280000","Banten",,"7/12/2019 04:05:00","7/12/2019 04:05:00"
"29","290000","Bangka Belitung",,"7/12/2019 04:05:00","7/12/2019 04:05:00"
"30","300000","Gorontalo",,"7/12/2019 04:05:00","7/12/2019 04:05:00"
"31","310000","Kepulauan Riau",,"7/12/2019 04:05:00","7/12/2019 04:05:00"
"32","320000","Papua Barat",,"7/12/2019 04:05:00","7/12/2019 04:05:00"
"33","330000","Sulawesi Barat",,"7/12/2019 04:05:00","7/12/2019 04:05:00"
"34","340000","Kalimantan Utara",,"7/12/2019 04:05:00","7/12/2019 04:05:00"
"35","350000","Luar Negeri",,"7/12/2019 04:05:00","7/12/2019 04:05:00"
