"id","questionnaire_question_id","text","image","poin","type","created_at","updated_at","deleted_at"
"5","2","Jangan pernah","","","radio","1/25/2020 12:34:44","1/25/2020 12:34:44",""
"6","2","Jarang (1kali)","","","radio","1/25/2020 12:34:44","1/25/2020 12:34:44",""
"7","2","Kadang-kadang (2kali)","","","radio","1/25/2020 12:34:44","1/25/2020 12:34:44",""
"8","2","Sering (3-4kali)","","","radio","1/25/2020 12:34:44","1/25/2020 12:34:44",""
"9","2","Sangat sering (5kali atau lebih)","","","radio","1/25/2020 12:34:44","1/25/2020 12:34:44",""
"10","1","Jangan pernah","","","radio","1/26/2020 15:40:38","1/26/2020 15:41:57",""
"11","1","Itu hanya pikiran yang lewat singkat","","","radio","1/26/2020 15:40:38","1/26/2020 15:41:57",""
"12","1","Saya telah memiliki rencana setidaknya sekali bunuh diri (tidak mencoba melakukannya/benar-benar ingin mati)","","","radio","1/26/2020 15:40:38","1/26/2020 15:41:57",""
"13","1","Saya telah berusaha untuk bunuh diri tapi tidak ingin mati/dan benar-benar berharap mati","","","radio","1/26/2020 15:40:38","1/26/2020 15:41:57",""
"14","1","Test","","","radio","1/26/2020 15:40:38","1/26/2020 15:45:59","1/26/2020 15:45:59"
"15","4","Tidak ada","","","radio","1/26/2020 18:00:05","1/26/2020 18:00:05",""
"16","4","Ya, pada suatu waktu, tetapi tidak benar-benar ingin mati / dengan benar-benar ingin  mati.","","","radio","1/26/2020 18:00:05","1/26/2020 18:00:05",""
"17","4","Ya, lebih dari satu sekali, tapi tidak ingin melakukannya / dan benar-benar ingin melakukannya","","","radio","1/26/2020 18:00:05","1/26/2020 18:00:05",""
"18","5","Tidak pernah","","","radio","1/26/2020 18:01:11","1/26/2020 18:01:11",""
"19","5","Tidak ada kesempatan sama sekali","","","radio","1/26/2020 18:01:11","1/26/2020 18:01:11",""
"20","5","Sebaliknya tidak mungkin","","","radio","1/26/2020 18:01:11","1/26/2020 18:01:11",""
"21","5","Tidak mungkin","","","radio","1/26/2020 18:01:11","1/26/2020 18:01:11",""
"22","5","Kemungkinan","","","radio","1/26/2020 18:01:11","1/26/2020 18:01:11",""
"23","5","Sebaliknya kemungkinan","","","radio","1/26/2020 18:01:11","1/26/2020 18:01:11",""
"24","5","Sangat mungkin","","","radio","1/26/2020 18:01:11","1/26/2020 18:01:11",""
"25","6","Selalu","","","radio","1/26/2020 18:05:34","1/26/2020 18:05:34",""
"26","6","Sering","","","radio","1/26/2020 18:05:34","1/26/2020 18:05:34",""
"27","6","Kadang","","","radio","1/26/2020 18:05:34","1/26/2020 18:05:34",""
"28","6","Tidak Pernah","","","radio","1/26/2020 18:05:34","1/26/2020 18:05:34",""
"29","7","Selalu","","","radio","1/26/2020 18:06:20","1/26/2020 18:06:20",""
"30","7","Sering","","","radio","1/26/2020 18:06:20","1/26/2020 18:06:20",""
"31","7","Kadang","","","radio","1/26/2020 18:06:20","1/26/2020 18:06:20",""
"32","7","Tidak Pernah","","","radio","1/26/2020 18:06:20","1/26/2020 18:06:20",""
"33","8","Selalu","","","radio","1/26/2020 18:06:57","1/26/2020 18:06:57",""
"34","8","Sering","","","radio","1/26/2020 18:06:57","1/26/2020 18:06:57",""
"35","8","Kadang","","","radio","1/26/2020 18:06:57","1/26/2020 18:06:57",""
"36","8","Tidak Pernah","","","radio","1/26/2020 18:06:57","1/26/2020 18:06:57",""
"37","9","Selalu","","","radio","1/26/2020 18:07:51","1/26/2020 18:07:51",""
"38","9","Sering","","","radio","1/26/2020 18:07:51","1/26/2020 18:07:51",""
