010101AA,010101,010101AA,Pulau Tidung
010101AB,010101,010101AB,Pulau Pari
010101AC,010101,010101AC,Pulau Untung Jawa
010102AA,010102,010102AA,Pulau Panggang
010102AB,010102,010102AB,Pulau Kelapa
010102AC,010102,010102AC,Pulau Harapan
016001AA,016001,016001AA,Gelora
016001AB,016001,016001AB,Bendungan Hilir
016001AC,016001,016001AC,Karet Tengsin
016001AD,016001,016001AD,Kebon Melati
016001AE,016001,016001AE,Petamburan
016001AF,016001,016001AF,Kebon Kacang
016001AG,016001,016001AG,Kampung Bali
016002AA,016002,016002AA,Menteng
016002AB,016002,016002AB,Pegangsaan
016002AC,016002,016002AC,Cikini
016002AD,016002,016002AD,Gondangdia
016002AE,016002,016002AE,Kebon Sirih
016003AA,016003,016003AA,Kenari
016003AB,016003,016003AB,Paseban
016003AC,016003,016003AC,Kramat
016003AD,016003,016003AD,Kwitang
016003AE,016003,016003AE,Senen
016003AF,016003,016003AF,Bungur
016004AA,016004,016004AA,Johar Baru
016004AB,016004,016004AB,Kampung Rawa
016004AC,016004,016004AC,Tanah Tinggi
016004AD,016004,016004AD,Galur
016005AA,016005,016005AA,Rawasari
016005AB,016005,016005AB,Cempaka Putih Timur
016005AC,016005,016005AC,Cempaka Putih Barat
016006AA,016006,016006AA,Harapan Mulya
016006AB,016006,016006AB,Cempaka Baru
016006AC,016006,016006AC,Sumur Batu
016006AD,016006,016006AD,Serdang
016006AE,016006,016006AE,Utan Panjang
016006AF,016006,016006AF,Kebon Kosong
016006AG,016006,016006AG,Kemayoran
016006AH,016006,016006AH,Gunung Sahari Selatan
016007AA,016007,016007AA,Pasar Baru
016007AB,016007,016007AB,Gunung Sahari Utara
016007AC,016007,016007AC,Kartini
016007AD,016007,016007AD,Karang Anyar
016007AE,016007,016007AE,Mangga Dua Selatan
016008AA,016008,016008AA,Cideng
016008AB,016008,016008AB,Petojo Selatan
016008AC,016008,016008AC,Gambir
016008AD,016008,016008AD,Kebon Kelapa
016008AE,016008,016008AE,Petojo Utara
016008AF,016008,016008AF,Duri Pulo
016101AA,016101,016101AA,Kamal Muara
016101AB,016101,016101AB,Kapuk Muara
016101AC,016101,016101AC,Pejagalan
016101AD,016101,016101AD,Penjaringan
016101AE,016101,016101AE,Pluit
016102AA,016102,016102AA,Pademangan Barat
016102AB,016102,016102AB,Pademangan Timur
016102AC,016102,016102AC,Ancol
016103AA,016103,016103AA,Sunter Agung
016103AB,016103,016103AB,Sunter Jaya
016103AC,016103,016103AC,Papango
016103AD,016103,016103AD,Warakas
016103AE,016103,016103AE,Sungai Bambu
016103AF,016103,016103AF,Kebon Bawang
016103AG,016103,016103AG,Tanjung Priuk
016104AA,016104,016104AA,Rawabadak Selatan
016104AB,016104,016104AB,Tugu Selatan
016104AC,016104,016104AC,Tugu Utara
016104AD,016104,016104AD,Lagoa
016104AE,016104,016104AE,Rawabadak Utara
016104AF,016104,016104AF,Koja
016105AA,016105,016105AA,Kelapa Gading Barat
016105AB,016105,016105AB,Kelapa Gading Timur
016105AC,016105,016105AC,Pegangsaan Dua
016106AA,016106,016106AA,Suka Pura
016106AB,016106,016106AB,Rorotan
016106AC,016106,016106AC,Marunda
016106AD,016106,016106AD,Cilincing
016106AE,016106,016106AE,Semper Timur
016106AF,016106,016106AF,Semper Barat
016106AG,016106,016106AG,Kali Baru
016201AA,016201,016201AA,Joglo
016201AB,016201,016201AB,Srengseng
016201AC,016201,016201AC,Meruya Selatan
016201AD,016201,016201AD,Meruya Utara
016201AE,016201,016201AE,Kembangan Selatan
016201AF,016201,016201AF,Kembangan Utara
016202AA,016202,016202AA,Sukabumi Selatan
016202AB,016202,016202AB,Sukabumi Utara
016202AC,016202,016202AC,Kelapa Dua
016202AD,016202,016202AD,Kebon Jeruk
016202AE,016202,016202AE,Duri Kepa
016202AF,016202,016202AF,Kedoya Selatan
016202AG,016202,016202AG,Kedoya Utara
016203AA,016203,016203AA,Palmerah
016203AB,016203,016203AB,Slipi
016203AC,016203,016203AC,Kemanggisan
016203AD,016203,016203AD,Kota Bambu Utara
016203AE,016203,016203AE,Kota Bambu Selatan
016203AF,016203,016203AF,Jati Pulo
016204AA,016204,016204AA,Tanjung Duren Utara
016204AB,016204,016204AB,Tanjung Duren Selatan
016204AC,016204,016204AC,Tomang
016204AD,016204,016204AD,Grogol
016204AE,016204,016204AE,Jelambar
016204AF,016204,016204AF,Wijaya Kesuma
016204AG,016204,016204AG,Jelambar Baru
016205AA,016205,016205AA,Kalianyar
016205AB,016205,016205AB,Duri Selatan
016205AC,016205,016205AC,Tanah Sereal
016205AD,016205,016205AD,Duri Utara
016205AE,016205,016205AE,Krendang
016205AF,016205,016205AF,Jembatan Besi
016205AG,016205,016205AG,Angke
016205AH,016205,016205AH,Jembatan Lima
016205AI,016205,016205AI,Tambora
016205AJ,016205,016205AJ,Roa Malaka
016205AK,016205,016205AK,Pekojan
016206AA,016206,016206AA,Krukut
016206AB,016206,016206AB,Maphar
016206AC,016206,016206AC,Taman Sari
016206AD,016206,016206AD,Tangki
016206AE,016206,016206AE,Mangga Besar
016206AF,016206,016206AF,Keagungan
016206AG,016206,016206AG,Glodok
016206AH,016206,016206AH,Pinangsia
016207AA,016207,016207AA,Duri Kosambi
016207AB,016207,016207AB,Rawa Buaya
016207AC,016207,016207AC,Kedaung Kali Angke
016207AD,016207,016207AD,Kapuk
016207AE,016207,016207AE,Cengkareng Timur
016207AF,016207,016207AF,Cengkareng Barat
016208AA,016208,016208AA,Semanan
016208AB,016208,016208AB,Kalideres
016208AC,016208,016208AC,Pegadungan
016208AD,016208,016208AD,Tegal Alur
016208AE,016208,016208AE,Kamal
016301AA,016301,016301AA,Cipedak
016301AB,016301,016301AB,Srengseng Sawah
016301AC,016301,016301AC,Ciganjur
016301AD,016301,016301AD,Jagakarsa
016301AE,016301,016301AE,Lenteng Agung
016301AF,016301,016301AF,Tanjung Barat
016302AA,016302,016302AA,Cilandak Timur
016302AB,016302,016302AB,Ragunan
016302AC,016302,016302AC,Kebagusan
016302AD,016302,016302AD,Pasar Minggu
016302AE,016302,016302AE,Jati Padang
016302AF,016302,016302AF,Pejaten Barat
016302AG,016302,016302AG,Pejaten Timur
016303AA,016303,016303AA,Lebak Bulus
016303AB,016303,016303AB,Pondok Labu
016303AC,016303,016303AC,Cilandak Barat
016303AD,016303,016303AD,Gandaria Selatan
016303AE,016303,016303AE,Cipete Selatan
016304AA,016304,016304AA,Bintaro
016304AB,016304,016304AB,Pesanggrahan
016304AC,016304,016304AC,Ulujami
016304AD,016304,016304AD,Petukangan Selatan
016304AE,016304,016304AE,Petukangan Utara
016305AA,016305,016305AA,Pondok Pinang
016305AB,016305,016305AB,Kebayoran Lama Selatan
016305AC,016305,016305AC,Kebayoran Lama Utara
016305AD,016305,016305AD,Cipulir
016305AE,016305,016305AE,Grogol Selatan
016305AF,016305,016305AF,Grogol Utara
016306AA,016306,016306AA,Gandaria Utara
016306AB,016306,016306AB,Cipete Utara
016306AC,016306,016306AC,Pulo
016306AD,016306,016306AD,Petogogan
016306AE,016306,016306AE,Melawai
016306AF,016306,016306AF,Kramat Pela
016306AG,016306,016306AG,Gunung
016306AH,016306,016306AH,Selong
016306AI,016306,016306AI,Rawa Barat
016306AJ,016306,016306AJ,Senayan
016307AA,016307,016307AA,Bangka
016307AB,016307,016307AB,Pela Mampang
016307AC,016307,016307AC,Tegal Parang
016307AD,016307,016307AD,Mampang Prapatan
016307AE,016307,016307AE,Kuningan Barat
016308AA,016308,016308AA,Kalibata
